1,22.0,"[('average_q', -0.000536074534281129), ('average_loss', 0), ('n_updates', 0)]"
2,18.0,"[('average_q', 0.0007955617132594816), ('average_loss', 0), ('n_updates', 0)]"
3,23.0,"[('average_q', 0.0015962189215795843), ('average_loss', 0), ('n_updates', 0)]"
4,22.0,"[('average_q', 0.0034254481038473615), ('average_loss', 0), ('n_updates', 0)]"
5,25.0,"[('average_q', 0.005787404936289455), ('average_loss', 0), ('n_updates', 0)]"
6,22.0,"[('average_q', 0.0066218103645388805), ('average_loss', 0), ('n_updates', 0)]"
7,28.0,"[('average_q', 0.0074547918111313415), ('average_loss', 0), ('n_updates', 0)]"
8,21.0,"[('average_q', 0.00781045936804445), ('average_loss', 0), ('n_updates', 0)]"
9,30.0,"[('average_q', 0.00841122138669702), ('average_loss', 0), ('n_updates', 0)]"
10,22.0,"[('average_q', 0.008896224054372232), ('average_loss', 0), ('n_updates', 0)]"
11,36.0,"[('average_q', 0.00926876822825734), ('average_loss', 0), ('n_updates', 0)]"
12,28.0,"[('average_q', 0.010531657473583146), ('average_loss', 0), ('n_updates', 0)]"
13,19.0,"[('average_q', 0.01113652708941384), ('average_loss', 0), ('n_updates', 0)]"
14,75.0,"[('average_q', 0.006713623651435282), ('average_loss', 0), ('n_updates', 0)]"
15,20.0,"[('average_q', 0.006965733141255142), ('average_loss', 0), ('n_updates', 0)]"
16,17.0,"[('average_q', 0.006868980697334617), ('average_loss', 0), ('n_updates', 0)]"
17,20.0,"[('average_q', 0.0063285405038263345), ('average_loss', 0), ('n_updates', 0)]"
18,41.0,"[('average_q', 0.009084160892895684), ('average_loss', 0), ('n_updates', 0)]"
19,23.0,"[('average_q', 0.008772000514535324), ('average_loss', 0.05445953334491653), ('n_updates', 12)]"
20,78.0,"[('average_q', 0.03730599243494433), ('average_loss', 0.14713502081076404), ('n_updates', 90)]"
21,44.0,"[('average_q', 0.07568263737103803), ('average_loss', 0.1931409012019354), ('n_updates', 134)]"
22,37.0,"[('average_q', 0.13228812671336548), ('average_loss', 0.14734211717579582), ('n_updates', 171)]"
23,27.0,"[('average_q', 0.17464349961488942), ('average_loss', 0.11657835950583313), ('n_updates', 198)]"
24,64.0,"[('average_q', 0.32694150109737263), ('average_loss', 0.11301743072847124), ('n_updates', 262)]"
25,20.0,"[('average_q', 0.37541771736670565), ('average_loss', 0.09998348519328269), ('n_updates', 282)]"
26,23.0,"[('average_q', 0.4272592853939724), ('average_loss', 0.11252889941155983), ('n_updates', 305)]"
27,36.0,"[('average_q', 0.539087142160122), ('average_loss', 0.1066679654834406), ('n_updates', 341)]"
28,40.0,"[('average_q', 0.6614125496907458), ('average_loss', 0.0902942784072657), ('n_updates', 381)]"
29,22.0,"[('average_q', 0.7253143405142799), ('average_loss', 0.10218284973206936), ('n_updates', 403)]"
